sample;TUB73;TUB76;TUB78;TUB84;TUB94;TUB96;TUB98;TUB103;Umbu1;SPO8;SPO14;pop
DMR_PI;0;1;0;0;1;0;0;1;1;1;1;CM
PRC_PI;0;1;1;0;1;0;0;1;1;1;1;CM
CCL_PI;0;1;1;0;1;0;0;1;1;1;0;CM
CRT_CE;0;1;1;0;1;0;1;1;1;1;1;CIA
PIX_PI;0;1;1;0;1;0;1;1;1;1;1;CIA
ALG_PI;1;1;1;0;1;1;1;1;1;1;0;CIA
VLN_PI;1;1;1;0;1;1;1;1;1;1;1;CIA
SIN_PI;1;1;1;0;1;1;1;1;1;1;0;CIA
BRJ_PI;1;1;1;0;1;1;0;1;1;1;1;CIA
BSF_PB;0;1;1;0;1;0;0;1;1;1;1;DSS
PAV_RN;0;1;1;0;1;1;1;1;1;1;1;DSS
GRN_PB;0;1;0;0;1;1;0;1;1;1;1;DSS
CRR_CE;0;1;0;0;1;0;0;1;1;1;1;DSS
BQE_PE;1;1;1;1;1;1;0;1;1;1;1;PB
ABL_PE;1;1;1;0;1;1;1;1;1;1;1;PB
CDN_RN;0;1;1;1;1;1;0;1;1;1;1;PB
PLV_PB;1;1;1;0;1;1;0;1;1;1;1;PB
SVS_PB;0;1;1;1;1;1;0;1;1;1;1;PB
CML_PB;1;1;1;0;1;1;1;1;1;1;1;PB
FLR_PE;1;0;1;0;1;0;1;1;1;1;1;DSM
BDC_PE;0;0;1;1;1;0;0;1;1;1;1;DSM
DRM_PE;0;1;1;0;1;0;1;1;1;1;1;DSM
PRN_AL;1;1;0;1;1;0;1;1;1;1;1;DSM
NPR_MG;0;1;0;0;1;0;0;1;1;1;1;DSM
JNR_MG;0;1;0;0;1;0;0;0;1;1;1;DSM
SRM_BA;0;0;1;0;1;0;1;1;1;1;1;DSM
ECR_BA;1;1;0;1;1;1;1;1;1;1;1;DSM
BRM_BA;1;1;0;0;1;1;0;1;1;1;1;DSM
QMD_BA;1;1;1;1;1;1;1;1;1;1;1;DSM
IPP_BA;1;1;1;0;1;1;1;1;1;1;1;DSM
SRN_PI;1;1;1;0;1;0;0;1;1;1;1;DSM
BRR_BA;1;1;1;0;1;1;1;1;1;1;1;DSF
JZR_BA;1;1;0;0;1;1;1;1;1;1;0;DSF
SBRO_BA;1;1;1;0;1;1;1;1;1;1;1;DSF
SNT_BA;1;1;1;0;1;1;1;1;1;1;1;DSF
IRM_BA;1;1;1;0;1;1;1;1;1;1;1;CD
NRD_BA;0;1;1;1;1;1;1;1;1;1;1;CD
SBRA_BA;0;1;1;0;1;0;0;1;1;1;1;CD
MCH_BA;1;1;1;0;1;1;1;1;1;1;1;CD
CJS_BA;1;1;1;0;1;1;0;1;1;1;1;RC
SBR_BA;1;1;1;1;1;0;0;1;1;1;1;RC
CSF_SE;0;1;0;0;1;1;0;0;0;0;1;RC
CND_BA;0;1;1;1;1;0;0;1;1;1;1;RC
