sample;TUB73;TUB76;TUB78;TUB84;TUB94;TUB96;TUB98;TUB103;Umbu1;SPO8;SPO14;pop
DMR_PI.CM;0;1;0;0;1;0;0;1;1;1;1;CM
PRC_PI.CM;0;1;1;0;1;0;0;1;1;1;1;CM
CCL_PI.CM;0;1;1;0;1;0;0;1;1;1;0;CM
CRT_CE.CIA;0;1;1;0;1;0;1;1;1;1;1;CIA
PIX_PI.CIA;0;1;1;0;1;0;1;1;1;1;1;CIA
ALG_PI.CIA;1;1;1;0;1;1;1;1;1;1;0;CIA
VLN_PI.CIA;1;1;1;0;1;1;1;1;1;1;1;CIA
SIN_PI.CIA;1;1;1;0;1;1;1;1;1;1;0;CIA
BRJ_PI.CIA;1;1;1;0;1;1;0;1;1;1;1;CIA
BSF_PB.DSS;0;1;1;0;1;0;0;1;1;1;1;DSS
PAV_RN.DSS;0;1;1;0;1;1;1;1;1;1;1;DSS
GRN_PB.DSS;0;1;0;0;1;1;0;1;1;1;1;DSS
CRR_CE.DSS;0;1;0;0;1;0;0;1;1;1;1;DSS
BQE_PE.PB;1;1;1;1;1;1;0;1;1;1;1;PB
ABL_PE.PB;1;1;1;0;1;1;1;1;1;1;1;PB
CDN_RN.PB;0;1;1;1;1;1;0;1;1;1;1;PB
PLV_PB.PB;1;1;1;0;1;1;0;1;1;1;1;PB
SVS_PB.PB;0;1;1;1;1;1;0;1;1;1;1;PB
CML_PB.PB;1;1;1;0;1;1;1;1;1;1;1;PB
FLR_PE.DSM;1;0;1;0;1;0;1;1;1;1;1;DSM
BDC_PE.DSM;0;0;1;1;1;0;0;1;1;1;1;DSM
DRM_PE.DSM;0;1;1;0;1;0;1;1;1;1;1;DSM
PRN_AL.DSM;1;1;0;1;1;0;1;1;1;1;1;DSM
NPR_MG.DSM;0;1;0;0;1;0;0;1;1;1;1;DSM
JNR_MG.DSM;0;1;0;0;1;0;0;0;1;1;1;DSM
SRM_BA.DSM;0;0;1;0;1;0;1;1;1;1;1;DSM
ECR_BA.DSM;1;1;0;1;1;1;1;1;1;1;1;DSM
BRM_BA.DSM;1;1;0;0;1;1;0;1;1;1;1;DSM
QMD_BA.DSM;1;1;1;1;1;1;1;1;1;1;1;DSM
IPP_BA.DSM;1;1;1;0;1;1;1;1;1;1;1;DSM
SRN_PI.DSM;1;1;1;0;1;0;0;1;1;1;1;DSM
BRR_BA.DSF;1;1;1;0;1;1;1;1;1;1;1;DSM
JZR_BA.DSF;1;1;0;0;1;1;1;1;1;1;0;DSF
SBRO_BA.DSF;1;1;1;0;1;1;1;1;1;1;1;DSF
SNT_BA.DSF;1;1;1;0;1;1;1;1;1;1;1;DSF
IRM_BA.CD;1;1;1;0;1;1;1;1;1;1;1;CD
NRD_BA.CD;0;1;1;1;1;1;1;1;1;1;1;CD
SBRA_BA.CD;0;1;1;0;1;0;0;1;1;1;1;CD
MCH_BA.CD;1;1;1;0;1;1;1;1;1;1;1;CD
CJS_BA.RC;1;1;1;0;1;1;0;1;1;1;1;RC
SBR_BA.RC;1;1;1;1;1;0;0;1;1;1;1;RC
CSF_SE.RC;0;1;0;0;1;1;0;0;0;0;1;RC
CND_BA.RC;0;1;1;1;1;0;0;1;1;1;1;RC
